name	file	type	size	planetsize	y_scale	yoffset	b-yoffset	inverted	smooth	operation	
											
											
											
											
Volcanic_02_LO_BM	Volcanic_02	raw	300, 250	2,3,4,5	0.28, 0.28	-140	500	false	0	max	
Starter_3_BM	Starter_3	png	200, 200	2,3,4,5	0.3, 0.3	0	500	false	3	max	
CliffPlate_02_MAX	CliffPlate_02	png	240, 240	2,3,4,5	0.5, 0.7	-220	500	false	0	max	
Starter_7_Beaches	Starter_7_Beaches	png	300, 300	2,3,4,5	0.031, 0.031	0	500	false	0	add	
											
											
											
											
# Stamp variant naming:	(mostly duplicates)										
# -----											
# _sp - Stamp has splatmap!	(always define with splat!)										
# _LO - Stamp has low y_scale,	or low yoffset										
# _HI - Stamp has high y_scale											
# _INV - Stamp is inverted											
# _ADD - add operation	(careful with overlaps!)										
# _SUB - sub operation	(careful with overlaps!)										
# _BM - High b-offset	(Or an offset variant)										
# _BML - Low b-offset											
# _SM - Smoothed											
#_R - Remake / improved	(e.g. deeper 'StampCellar')										
# ----------------------------	----------------------										
# General mountain stamps	----------------------										
Mountain_1	Mountain_1	raw	300, 300	3,4,5	0.7, 0.75	-40	25	false	0	max	
Mountain_2	Mountain_2	raw	300, 250	2,3,4,5	0.9, 1.0	-220	0	false	0	max	
Mountain_2_BM	Mountain_2	raw	300, 250	2,3,4,5	0.9, 1.0	-220	80	false	0	max	
Mountain_2_LO	Mountain_2	png	300, 250	2,3,4,5	0.6, 0.7	-220	0	false	0	max	
Mountain_2b	Mountain_2b	raw	600, 500	2,3,4,5	0.9, 1.0	-260	10	false	0	max	
Mountain_2b_BM	Mountain_2b	raw	600, 500	2,3,4,5	0.9, 1.0	-260	100	false	0	max	
Mountain_3	Mountain_3	raw	300, 250	2,3,4,5	0.5, 0.5	-90	10	false	2	max	
Mountain_3_BM	Mountain_3	raw	300, 250	2,3,4,5	0.5, 0.5	-90	100	false	2	max	
Mountain_3_LO	Mountain_3	png	300, 250	2,3,4,5	0.45, 0.6	-150	10	false	2	max	
Mountain_3b	Mountain_3b	raw	600, 500	2,3,4,5	0.5, 0.5	-90	10	false	3	max	
Mountain_4a	Mountain_4a	raw	300, 250	2,3,4,5	0.3, 0.5	-220	60	false	0	max	
Mountain_4b	Mountain_4b	raw	600, 500	2,3,4,5	0.4, 0.5	-220	60	false	1	max	
Mountain_5	Mountain_5	raw	560, 326	2,3,4,5	1.0, 1.3	-180	30	false	0	max	
Mountain_6	Mountain_6	raw	540,326	2,3,4,5	0.7, 0.9	-250	20	false	0	max	
Mountain_9	Mountain_9	png	300, 300	3,4,5	0.9, 1	-40	55	false	3	max	
Mountain_9_BM	Mountain_9	png	300, 300	3,4,5	0.9, 1	-40	80	false	1	max	
Mountain_10	Mountain_10	png	300, 300	3,4,5	0.9, 1	-80	0	false	3	max	
Mountain_10_sp	Mountain_10_sp	raw	300, 300	2,3,4,5	0.85, 0.85	-140	50	false	0	max	
Mountain_10_ADD	Mountain_10	png	300, 300	3,4,5	0.2, 0.34	-80	0	false	2	add	
Mountain_10_BM	Mountain_10	png	300, 300	2,3,4,5	0.5, 1	-80	100	false	3	max	
